11
37
15
4.2
P 34 42
P 65 6
P 68 86
P 79 68
P 53 73
P 40 64
P 76 32
S 31 1
S 54 0
S 95 67
S 60 66
79 35 4.9 P
82 54 1.4 N
87 85 4.1 P
35 15 4.6 N
91 69 4.8 P
89 12 2.3 N
50 71 2.5 P
33 45 4.9 N
91 56 2.5 P
38 95 2.1 N
47 60 3.8 N
12 91 2.1 N
92 92 1.5 N
52 78 2.9 N
88 70 2.7 P
52 46 5.2 P
39 85 2.2 P
99 29 5.2 P
16 81 5.4 P
76 57 3.4 P
19 23 2.7 P
21 49 2.6 P
55 69 1.2 P
35 4 2.7 P
89 16 1.9 P
36 84 5 N
2 86 3.3 N
61 67 2.3 N
31 60 2.8 N
50 50 3.7 P
36 52 3.4 P
42 16 6 P
62 88 2 P
1 8 5.2 P
60 94 2.6 P
46 42 5.7 N
16 38 1.5 N
5 1 1 P
58 79 3.9 N
32 56 5.7 P
6 11 5.1 P
48 11 1.9 P
83 62 1.9 N
68 25 4.1 P
93 68 4.7 P
96 48 3.2 P
6 31 5 N
44 85 3.3 N
98 7 4.4 P
58 13 4.6 P
