4
33
12
5.9
P 11 88
P 80 7
P 47 186
S 30 139
111 36 2.5 N
197 31 4.8 P
30 170 3.7 N
2 103 1.2 P
94 11 1.1 N
46 167 1.7 P
76 30 6 N
41 28 2.6 P
13 48 1.2 N
127 37 2.3 P
146 73 2.2 P
112 199 2.4 P
145 21 5.9 P
104 99 5.3 P
27 33 5.9 P
148 98 5.3 P
168 13 1 P
108 6 1.3 P
39 36 5.7 P
6 85 2.8 P
143 116 1.7 N
186 43 4.1 P
83 147 3 P
150 186 2.2 N
172 61 1.5 P
71 30 1.8 N
38 96 1.1 P
50 156 3.5 P
165 85 2.1 P
85 9 2.4 P
88 175 2.2 N
171 152 3.6 N
111 133 5.4 P
86 13 4.5 P
44 147 5.9 N
189 119 1.9 P
32 17 3.8 P
109 97 2.6 P
117 180 1.9 P
22 5 4.6 P
138 138 4.9 P
87 9 2.2 N
39 66 2 N
71 63 5.6 P
37 109 3.9 P
76 187 3.6 N
133 100 1.5 N
55 16 1.7 P
121 75 4.9 N
134 75 5.8 P
