2
22
15
3.1
P 183 110
S 150 179
188 129 1.1 P
141 52 4.7 P
191 195 3.2 N
110 83 1.8 P
143 145 4.5 P
174 167 1.6 P
144 35 6 N
83 48 2.8 P
192 153 1.9 P
138 57 2.3 N
141 76 3.5 P
159 41 2.8 P
44 15 3 P
99 169 5.1 P
152 60 5.9 P
1 70 3.2 P
158 108 3.9 P
40 178 4.2 P
60 98 6 P
119 124 2.6 N
188 149 4.5 P
182 70 3.5 N
198 185 1.6 P
134 7 2.5 N
162 137 1.9 N
85 143 5.2 P
113 151 1.9 N
61 184 2.8 P
103 113 5.9 P
14 175 1.2 P
20 92 1.8 P
179 82 3.8 N
100 66 1.3 P
94 139 3.5 N
30 194 3.2 P
165 62 2 P
5 2 3.2 P
196 132 3.1 P
190 66 5.3 P
67 92 1.6 P
135 140 4.8 P
111 92 2.9 P
110 46 5.3 N
107 19 1.6 N
155 33 6 P
103 97 2.8 P
138 145 2.5 N
25 11 3.4 P
195 36 5.8 P
150 102 3.8 P
